channel_id,status,input_size,n_train,n_val,n_test,n_true_anomalous_points,best_val_loss,n_epochs_trained,final_train_loss,final_val_loss,point_precision,point_recall,point_f1,point_pr_auc,predicted_anomaly_ratio,seq_TP,seq_FP,seq_FN,seq_precision,seq_recall,seq_f1,seq_pr_auc,n_predicted_anomalous_points,mean_threshold,max_score,mean_score
E-2,ok,25,2054,326,8282,1398,0.016004197568021305,23,0.013932171795506324,0.01775532243259114,1.0,0.07582260371959942,0.14095744680851063,0.34883283590409,0.012798840859695725,1,0,0,1.0,1.0,1.0,0.34883283590409,106,0.5409901002432103,0.7710792147933986,0.16673557566273398
E-3,ok,25,2054,326,8057,3213,0.03399644607529501,12,0.011679203556932168,0.04799718509765308,1.0,0.018674136321195144,0.03666361136571952,0.5270543633491608,0.007446940548591287,1,0,0,1.0,1.0,1.0,0.5270543633491608,60,0.3964367010043089,0.6732738952522742,0.1285785128135349
E-4,ok,25,2054,326,8104,2812,0.010739578322673136,20,0.010014546026694276,0.012000624367544439,0.0,0.0,0.0,0.3933060404348646,0.0006169792694965449,0,1,1,0.0,0.0,0.0,0.3933060404348646,5,0.4995533307729963,0.9941232208174114,0.15471688473498482
E-5,ok,25,2054,326,8044,321,0.0005351635009661728,35,0.0007816735206637985,0.001506456343937048,0.0,0.0,0.0,0.03330218801724244,0.012928891098955743,0,18,1,0.0,0.0,0.0,0.03330218801724244,104,1.0211973002313752,1.135710627731818,0.21346333355590283
E-6,ok,25,2054,326,8050,66,0.01153182722856662,20,0.015529829012810414,0.021146216566897243,1.0,0.3787878787878788,0.5494505494505495,0.6804743432451916,0.003105590062111801,1,0,0,1.0,1.0,1.0,0.6804743432451916,25,87.82294487650366,531.6621644645227,1.448453160905695
E-7,ok,25,1965,304,8060,281,0.4021582572083724,19,0.37186869648273363,0.41957168673214157,1.0,0.25622775800711745,0.40793201133144474,0.44688856075935124,0.008933002481389578,1,0,0,1.0,1.0,1.0,0.44688856075935124,72,6.310189238414643,27.007974882377134,0.7125965273302706
E-8,ok,25,2054,326,8282,623,0.009673275247764734,35,0.009289521340393219,0.009673275247764734,1.0,0.09951845906902086,0.181021897810219,0.3746755054487798,0.007486114465105047,1,0,0,1.0,1.0,1.0,0.3746755054487798,62,0.6911016737574975,0.8373701044069837,0.18469326332709232
E-9,ok,25,2054,326,8052,351,0.01858260309426514,17,0.020568604510324665,0.019601033429152395,1.0,0.019943019943019943,0.03910614525139665,0.05650363568567074,0.0008693492300049677,1,0,0,1.0,1.0,1.0,0.05650363568567074,7,0.5126718363294088,0.7448265390766751,0.16502053530679844
F-1,ok,25,2045,324,8334,101,0.29311508234636285,25,0.26030661736257504,0.3053128491213292,0.0,0.0,0.0,0.012186396401488359,0.0009599232061435085,0,1,1,0.0,0.0,0.0,0.012186396401488359,8,1.7708067789169333,2.9217157455591614,0.4378892334847196
F-2,ok,25,2038,323,8376,2957,0.5318745233856672,35,0.5378204876588067,0.566402267148551,1.0,0.0037199864727764627,0.007412398921832884,0.7906882605300491,0.0013132760267430754,1,0,0,1.0,1.0,1.0,0.7906882605300491,11,2.0278767771465582,3.7696848704034918,0.737498868718636
F-3,ok,25,2054,326,8126,41,0.10428394560067931,12,0.0018883135607067093,0.15091400881486436,0.0,0.0,0.0,0.007075682520570435,0.007629830174747723,0,1,1,0.0,0.0,0.0,0.007075682520570435,62,0.194351442603884,1.3426858849573995,0.08466195667941202
G-1,ok,25,2006,314,8219,121,0.1849836280011827,20,0.10399475666960833,0.21266273138629402,0.0,0.0,0.0,0.013691146853498133,0.003893417690716632,0,1,1,0.0,0.0,0.0,0.013691146853498133,32,0.4389970167203992,0.8088758206808095,0.14867339337712238
