channel_id,status,input_size,n_train,n_val,n_test,n_true_anomalous_points,best_val_loss,n_epochs_trained,final_train_loss,final_val_loss,point_precision,point_recall,point_f1,point_pr_auc,predicted_anomaly_ratio,seq_TP,seq_FP,seq_FN,seq_precision,seq_recall,seq_f1,seq_pr_auc,n_predicted_anomalous_points,mean_threshold,max_score,mean_score
E-3,ok,25,2054,326,8057,3213,0.025990853606054753,12,0.010999515775079679,0.04672160146449424,1.0,0.026455026455026454,0.05154639175257732,0.4051720699551577,0.010549832443837656,1,0,0,1.0,1.0,1.0,0.4051720699551577,85,0.30137415990959665,0.670899545218051,0.08791135262370206
E-4,ok,25,2054,326,8104,2812,0.006692665389116191,28,0.007379382620216461,0.008268003351986408,0.0,0.0,0.0,0.37965617857572104,0.0007403751233958539,0,1,1,0.0,0.0,0.0,0.37965617857572104,6,0.520481826573601,1.0305967800119185,0.1601167442212717
E-5,ok,25,2054,326,8044,321,0.0007312185826648507,35,0.0012480553929687648,0.0007312185826648507,0.0125,0.006230529595015576,0.008316008316008316,0.040465332113448216,0.019890601690701143,1,33,0,0.029411764705882353,1.0,0.05714285714285715,0.040465332113448216,160,1.04423422299025,1.1787071728139464,0.22087257096378846
E-6,ok,25,2054,326,8050,66,0.011093894099713834,19,0.014490694829041525,0.01280741626682457,1.0,0.3787878787878788,0.5494505494505495,0.6990340861390651,0.003105590062111801,1,0,0,1.0,1.0,1.0,0.6990340861390651,25,87.77578568270128,531.5430953480638,1.413974078262117
E-7,ok,25,1965,304,8060,281,0.3974549268421374,19,0.37159075391201574,0.3988003511177866,1.0,0.25622775800711745,0.40793201133144474,0.45171070448961714,0.008933002481389578,1,0,0,1.0,1.0,1.0,0.45171070448961714,72,6.189731123711499,26.479571710922205,0.7358716341955698
E-8,ok,25,2054,326,8282,623,0.011893005287446128,17,0.010847776491619363,0.01709605828841771,1.0,0.27768860353130015,0.43467336683417085,0.39777595715359404,0.020888674233276987,1,0,0,1.0,1.0,1.0,0.39777595715359404,173,0.5475075001982947,0.7623728145874603,0.16199684880045798
E-9,ok,25,2054,326,8052,351,0.016162003293359206,15,0.019293325319305832,0.017293551559645706,1.0,0.017094017094017096,0.03361344537815126,0.05170302848055365,0.0007451564828614009,1,0,0,1.0,1.0,1.0,0.05170302848055365,6,0.49084820059638,0.7251425042239951,0.1557870660169629
F-1,ok,25,2045,324,8334,101,0.231711259778635,31,0.2687301371674666,0.25125951715457584,0.0,0.0,0.0,0.011523117073201927,0.0009599232061435085,0,1,1,0.0,0.0,0.0,0.011523117073201927,8,1.8084218705900634,3.1905935668587735,0.4947751229695019
F-2,ok,25,2038,323,8376,2957,0.5093069075658664,34,0.5546314437911134,0.5388364677285724,1.0,0.005072708826513358,0.010094212651413189,0.7870376073379163,0.0017908309455587394,1,0,0,1.0,1.0,1.0,0.7870376073379163,15,2.1276455780573826,3.8241120254176697,0.831919508691274
F-3,ok,25,2054,326,8126,41,0.08669280064252256,9,0.0017666540518058455,0.18134129943291835,0.0,0.0,0.0,0.006106048751724259,0.007629830174747723,0,1,1,0.0,0.0,0.0,0.006106048751724259,62,0.18296254959790836,1.5138383318353652,0.08027139113887184
G-1,ok,25,2006,314,8219,121,0.22609950516633925,12,0.10635537668275215,0.27791109130640695,0.0,0.0,0.0,0.012123355164840746,0.0032850711765421586,0,1,1,0.0,0.0,0.0,0.012123355164840746,27,0.44589588906505295,1.064602748197653,0.1512435085863
G-2,ok,25,1732,246,7111,41,3.222103400250075e-06,27,1.9842387596815524e-06,4.431119389376297e-06,1.0,0.6585365853658537,0.7941176470588235,0.6890570490839765,0.003796934327098861,1,0,0,1.0,1.0,1.0,0.6890570490839765,27,0.04314044013970526,0.3640818261249366,0.0013096957054178847
G-3,ok,25,1849,275,7657,51,0.0010541147518564355,6,0.20206402637076545,0.007996496219526637,1.0,0.43137254901960786,0.6027397260273972,0.3649181045269657,0.002873187932610683,1,0,0,1.0,1.0,1.0,0.3649181045269657,22,0.3208460970216131,2.1233319406886246,0.02338008776549458
G-4,ok,25,1790,261,7382,31,0.22685957708578,15,0.21678156752826117,0.24604356106213682,0.625,0.4838709677419355,0.5454545454545454,0.4859508714485311,0.003251151449471688,1,0,0,1.0,1.0,1.0,0.4859508714485311,24,8.9417766581011,74.30341325478189,0.25975826659359147
G-6,ok,25,2054,327,8390,101,0.13187837017420964,11,0.0016412735218862334,0.1586027240169887,1.0,0.19801980198019803,0.3305785123966942,0.6081227198732586,0.0023837902264600714,1,0,0,1.0,1.0,1.0,0.6081227198732586,20,0.7475313400653103,2.0497229982029586,0.16852048158733018
G-7,ok,25,1706,240,7779,268,2.126760749022166,33,0.8940194827828727,2.132795818646749,1.0,0.04477611940298507,0.08571428571428572,0.6401686628670068,0.0015426147319706903,1,0,2,1.0,0.3333333333333333,0.5,0.6401686628670068,12,3.530021814588675,7.1551561389213285,0.27280470211362684
P-1,ok,25,2047,325,8255,751,0.18056393907906917,27,0.14586792977979024,0.1935835492152434,0.047619047619047616,0.0013315579227696406,0.0025906735751295338,0.08551026975878213,0.0025439127801332524,1,11,2,0.08333333333333333,0.3333333333333333,0.13333333333333333,0.08551026975878213,21,0.7037590115538443,0.796292242120581,0.30246490733209347
P-2,ok,25,2006,315,7959,1276,0.5365857056209019,20,0.46375658594123864,0.5366004624064007,1.0,0.09247648902821316,0.16929698708751795,0.9304225141331206,0.014825983163714035,1,0,0,1.0,1.0,1.0,0.9304225141331206,118,17.493661439784006,50.22125099758883,3.7989366168259306
P-3,ok,25,2034,321,8243,1336,0.07353863366981069,35,0.08087115962655378,0.07744167489797527,1.0,0.005988023952095809,0.011904761904761904,0.7907121382447175,0.0009705204415868009,1,0,0,1.0,1.0,1.0,0.7907121382447175,8,1.1571980008213412,2.5282219273639237,0.3482577982080684
P-4,ok,25,1837,272,7533,443,9.779287438922945e-07,35,1.2435374606167312e-06,1.1294092425206305e-06,1.0,0.09029345372460497,0.16563146997929606,0.5300791061539241,0.005309969467675561,1,0,2,1.0,0.3333333333333333,0.5,0.5300791061539241,40,0.34339180126732705,1.4038111561999724,0.004533997582257094
P-7,ok,25,2032,321,7821,1651,0.04407771324268847,28,0.06885725639643163,0.049363208789598906,1.0,0.0018170805572380376,0.0036275695284159614,0.6717255907680447,0.0003835826620636747,1,0,0,1.0,1.0,1.0,0.6717255907680447,3,0.9100922467049168,1.401239718360481,0.28201315211718003
R-1,ok,25,2049,325,6994,81,5.646316472288723e-07,35,5.520784551420473e-07,1.2053049151570751e-06,1.0,0.38271604938271603,0.5535714285714286,0.38326702729908746,0.004432370603374321,1,0,0,1.0,1.0,1.0,0.38326702729908746,31,0.04321450955215431,0.36438079389299033,0.001264236110170106
S-1,ok,25,2004,314,7081,448,0.7103460385541248,28,0.5412332310885964,0.8068252650036174,1.0,0.34151785714285715,0.5091514143094842,0.6535050044259861,0.02160711763875159,1,0,0,1.0,1.0,1.0,0.6535050044259861,153,2.251615801865699,4.10351098896436,0.7372313665396208
T-1,ok,25,2050,325,8362,1536,0.004829122185922013,35,0.006629831825337577,0.004829122185922013,0.0,0.0,0.0,0.10993631567664802,0.0007175316909830184,0,1,2,0.0,0.0,0.0,0.10993631567664802,6,0.3338845647940622,0.5883590614388813,0.12569857557805428
T-2,ok,25,2034,321,8375,1785,0.005427481363617418,28,0.011867200080287023,0.007631483220863751,0.0,0.0,0.0,0.12553956963055415,0.0013134328358208956,0,2,1,0.0,0.0,0.0,0.12553956963055415,11,0.46552877703649603,0.5634308818144789,0.1516004584871423
T-3,ok,25,2050,326,8329,184,0.009350551669400162,30,0.008760106255095906,0.010963508573595,1.0,0.266304347826087,0.4206008583690987,0.30485919700799397,0.005883059190779205,2,0,0,1.0,1.0,1.0,0.30485919700799397,49,4.298559278456706,23.504418259039358,0.18879282296705766
